entity,title,body
node,Bazel Test seems to be failing on master,"As of ~4 days ago running: `bazel test //...` on master has started failing. This can be seen on a GitHub action CI where I build nightly copybara images: [This is the first test failure, although all 4 days since have been solid of this test failing](https://github.com/SecurityInsanity/openjdk-panama-vector-docker/runs/956196460?check_suite_focus=true).

This has been tested on two linux setups, one running bazel 3.4.1, and the CI actions uses bazel 3.3.0. A failed output log from the test that is failing is: [HERE](https://gist.github.com/SecurityInsanity/76d9a8bdb16364b920123d1961b33182).

Please let me know any other information you need, Thanks!"
node,Using Copybara with deploy keys?,"We would like to give Copybara access to the origin repo using a read only deploy key and the destination repo using a read/write deploy key. GitHub does not allow the same SSH key to be used as a deploy key in two different repos.

It's not clear to me how to do this with Copybara. A common trick when using git to access different repos with different keys is explained here: https://gist.github.com/gubatron/d96594d982c5043be6d4 - however this appears not to work with Copybara as there is a check for the GitHub hostname in the code [1].

Is there a way to use different keys to access different repos with Copybara? If not, please could it be added e.g. by allowing the `GIT_SSH_COMMAND` environment variable to be specified on a per-repo basis?

Thanks.

Christopher Hoskin

[1] https://github.com/google/copybara/blob/574ddc0ed1b50d3240509e71ae7d563554fb635d/java/com/google/copybara/git/GitModule.java#L1398


"
node,How to remove the GitOrigin-RevId label,"Hi,

I was wondering how the GitOrigin-RevId label can be removed. I've tried using metadata.remove_label in the transformations, but it doesn't remove it.

Sorry if this isn't the appropriate place for this question. I tried posting in the google groups forum, but it wouldn't let me due to permissions

Cheers,

Mike"
node,git.origin -> git.github_pr_destination fails when specifying a SHA-1 `ref` on the origin,"I'm attempting to write a macro for a workflow which will take a public Git SoT (`git.origin` is necessary, since this can be sources other than `github` or `gerrit`). I'd like to submit this import as a PR to a private github destination (via `git.github_pr_destination`).

The workflow that gets generated is pretty simple:

```
    core.workflow(
        name = ""some_foo_name"",
        mode = ""SQUASH"",
        origin = git.origin(
            url = url,
            ref = ""someCommitHash"",
        ),
        destination = git.github_pr_destination(
            url = private_url,
            destination_ref = ""master"",
            pr_branch = ""import/some_foo_name/${CONTEXT_REFERENCE}"",
        ),
        <snip...>
```

However, when running this workflow, I get a error stating that I need to specify the `pr_branch` for this:

```
ERROR: git.github_pr_destination is incompatible with the current origin. Origin has to be able to provide the contextReference or use '--github-destination-pr-branch' flag
```

Am I going about this incorrectly? What is a more idiomatic way to do this?"
node,GitDestinationOptions#fetch and GitDestinationOptions#push are package protected,need to use the programatically.
Thanks!
node,Usage question,"I'm evaluating Copybara but the lack of documentation makes it a bit hard to understand some basic concepts.

Let's suppose there a private repo A and a public repo B, both hosted on Github. B is a filtered version of A, in the sense that some files and folders are removed. Most work (internal) will happen on A, but some public contributions might happen on B as pull requests. My understanding so far is that I would have to setup webhooks on both repos. On A to mirror branches to B on commits, and on B to mirror PRs to A.

Is my understanding correct?

thank you for the product and your attention!"
node,feature: hide all codes on screen until selected,"On large screen devices it is easy to read from a distance all the codes displayed on the screen, even though I only ever need one of them at a time.

Please add a setting to have all the codes hidden by default so I can just show the one I want to use instead of exposing all of them to shoulder-surfers.

I know the risk from exposure in this regard is low, but it is still an unnecessary risk that can be easily mitigated.
"
node,Multiple Views,Whats the most efficient way of using multiple card view layouts in a recycler view? for example a WelcomeCard and a SmallImageCard in the same recycler view. 

node,Failed to find: com.github.dexafree:materiallist:2.3.2,I have this message when try to compile project
   Error:Failed to find: com.github.dexafree:materiallist:2.3.2

it works only for version 2.0.1

node,How do I maintain the original author when migrating code?,"I was able to maintain an original author using Copybara, but only by doing this:

`authoring = authoring.pass_thru(""Original Author <original@author.com>""),`

I'm not sure how to modify the workflow so that it just does this automatically? If it helps, I'm on git 2.8.1, on OS X 10.12.3.

PS, this tool rocks!"
node,Update Serbian translation,""
node,Update Main.java,""
node,BEGIN_PUBLIC,BEGIN_PUBLIC
3. commit

COPYBARA_INTEGRATE_REVIEW=https://github.com/samuelba/external_test_repo/pull/3 from samuelba:patch-3 affef1cb6b6c1e1480d107325d8818eac8f6fdc4
Closes #3

END_PUBLIC
node,SetText to custom view inside custom layout,"Hello. I created custom RippleBigImageCard extends by  BigImageButtonsCard and also I redefined getLayout() which return my custom layout.
I want to add custom view with date to my layout and setText to this view after creating instance of RippleBgImageCard, but I don't understand how can  I do that.
"
node,Bump Supported API Versions,"Drop support for API 7 (Eclair) as it has less than .1% market share on the Play Store.
Extend support all the way up to API 22 (Lollipop_MR1).
Since Eclair support is dropped, the Mockito workaround for testing is deleted also.
Additionally, to make the project work with the latest Android Studio, the test manifest is deleted.
"
node,Version 3.1.1 or 3.1.0 doesn't result in successful builds.,"Error:(31, 38) error: cannot find symbol class OnButtonClickListener
Error:(32, 47) error: cannot find symbol class BasicImageButtonsCardProvider
Error:(241, 22) error: cannot find symbol method clearAll()
Error:(245, 22) error: cannot find symbol method clearAll()
Error:(363, 27) error: cannot find symbol class BasicImageButtonsCardProvider
Error:(366, 43) error: cannot find symbol class BasicImageButtonsCardProvider
Error:(373, 63) error: cannot find symbol class OnButtonClickListener
Error:(384, 64) error: cannot find symbol class OnButtonClickListener
Error:(427, 23) error: cannot find symbol class BasicImageButtonsCardProvider
Error:(430, 39) error: cannot find symbol class BasicImageButtonsCardProvider
Error:(437, 59) error: cannot find symbol class OnButtonClickListener
Error:(450, 60) error: cannot find symbol class OnButtonClickListener

These are the list of errors that I get.
"
node,Horizontal scrolling,"Hi there,
Is it possible to make it scrollable vertically?
"
node,Project import generated by Copybara.,Project import generated by Copybara.
node,[Feature Request] Support call external commands as transformation,"I'd like to run code formatting in a copybara workflow, which needs to call external commands as transformation."
node,Doesn't seem to work in a fragment,"I get this

java.lang.NullPointerException: Attempt to invoke virtual method 'void com.dexafree.materialList.view.MaterialListView.add(com.dexafree.materialList.model.Card)' on a null object reference

when trying to use it in a fragment. my code looks like this 

```
  mMaterialListView = (MaterialListView)view.findViewById(R.id.material_listview);
    BasicImageButtonsCard card = new BasicImageButtonsCard(view.getContext());
    card.setTitle(""Your title"");
  //  card.setSubtitle(""My subtitle!"");
    card.setDescription(""Your description"");
  //  card.setButtonText(""OKAY!"");

    mMaterialListView.add(card);
```
"
node,Update to 2.4.0 on jitpack,Can you please upload 2.4.0+ to jitpack.io so that I can use it using the basic dependencies?

node,Using picasso along with BigImageCard,"I want to use Picasso to load the images efficiently onto a BigImageCard. My issue is that card.setDrawable() takes in a drawable/drawableBitmap, but Picasso uses a .into() method to inject the image into a imageview. 

I can't find a way to get it to work with a card, would you have any idea? 
"
node,Can't set lastRevision programatically,"To use Copybara programatically one needs the ability to pass the lastRevision.
Currently I think that's not possible.
```scala
val generalOptions =  new GeneralOptions(
      System.getenv(),
      FileSystems.getDefault,
      VerboseLoggingOff,
      LogConsole.writeOnlyConsole(System.out, VerboseLoggingOff)
val options = new Options((moduleSupplier.newOptions().asScala :+ generalOptions).asJava)
options.get(classOf[WorkflowOptions]).lastRevision = lastRev //visibility problem
```
"
node,Guide implementation,Sorry i am new in this 2 factor authentication

I like to implement this on my application ive learned how to generate secret that is needed to generate the 6 number key. my question is how can i validate my 6 number key if it is correct or not. 

Thanks! 
node,damian210medina,""
node,Security Problem: Screenshot Function,"Original [issue 402](https://code.google.com/p/google-authenticator/issues/detail?id=402) created by TriplexAccount.P.N on 2014-07-08T10:27:41.000Z:

<b>What steps will reproduce the problem?</b>
1. Call Screenshot Function from the specific smartphone

<b>What version of the product are you using? On what operating system?</b>
Google Authentificator: 2.49

<b>Please provide any additional information below.</b>
In general, it is not possible to take a screenshot of any inner user interface from a banking app for security reason. The Google Authentificator can be comprimised by using a trojan with screenshot function. Please disable the ability to take a screenshot from the main interface from the Google Authentificator.
"
node,Just a test,Change-Id: Iecedfde897e28be8a18a4bb85934140fb5306d19
node,Update RecyclerView library version,Thanks for creating this wonderful library. I am recently getting into the new Design Support Library and its CoordinatorLayout. It seems the latest RecyclerView library is required to enable interaction with the CoordinatorLayout. Please fix the dependency version. Great thanks!

node,Just a internal test. IGNORE.,Change-Id: Ic9274fba81aac0141002dfeba17cc6b6cc09a064
node,Context Menu Disappears on Device Rotation,"When I perform this sequence of events, the context menu on screen disappears:
1.  Long Click on code item
2. Orientation Change
"
node,Folders to organize entries,"Original [issue 456](https://code.google.com/p/google-authenticator/issues/detail?id=456) created by tohelwithlove on 2014-10-03T17:49:10.000Z:

As TOTP gains popularity, the long list of entries in Google Authenticator becomes unwieldy. Especially for an IT professional who manages a number of AWS, Google Apps &amp; Joomla accounts.

Ideally users should be able to organize the entries by folders they define, or as a compromise, automatic categorizing entries based on the issuer field.

Thanks!
"
node,Allow creating PullRequest on a different repo than pushing,""
node,Add default http.useragent flag,"Hi Copybara team,

I'd like to be able to identify calls to our Git service which come from your awesome tool.  The simplest way to do this seems to be adding a default http.useragent=""copybara"" flag in the Git command line you build.

Does that sound OK?  A quick look through your code suggests that shouldn't be to hard.

Thanks!"
node,Secrets should be stored in a java.security.KeyStore,"Original [issue 158](https://code.google.com/p/google-authenticator/issues/detail?id=158) created by kroot@google.com on 2012-03-28T23:27:19.000Z:

Instead of storing the secrets in the SQLite database, the SQLite database should store the alias of the SecretKey in a java.security.KeyStore. This will allow migration to more secure methods of storage in the future.

Note that you'll have to use a JCEKS instead of the default JKS.
"
node,Should allow sorting,"The Google Auth Android client works well for a few entries. People like me have about 20 entries, not sorted (well sorted by when you've added them which is meaningless). You should be able to:

Sort them (manually, by issuer, or by provider, at least one of those)
Possibly group them together in one level tree
"
node,Password protection / pin to enter the app,"We really need a password protection / pin to enter the app and save the local data as encrypted.
I am very surprised this feature is not in the app, seems VERY basic security (you can't count only on the Android login passord for access security)

regards

Sean
"
node,Example provided in README doesn't work.,The example provided in the README does not compile. Where as the example provided in the docs works. I have merely just replaced the example in the README file with the example mentioned in the docs!

node,Is there a way to pass a GitHub API Token?,"I am getting rate limited by GitHub when moving a bunch of commits:

```
% copybara copy.bara.sky export_to_github_pr
Nov 06, 2019 4:16:36 PM com.google.copybara.Main configureLog
INFO: Setting up LogManager
Copybara source mover (Version: Unknown version)
...
ERROR: Migration of origin revision '<commit_sha1>' failed with error: GitHub API call failed with code 403 The request was GET <redacted> Response:
{""message"":""API rate limit exceeded for <ip_address>. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)"",""documentation_url"":""https://developer.github.com/v3/#rate-limiting""}
```"
node,Incorrect removing card from other fragment,"I have `ViewPager` and simple class extending `FragmentPagerAdapter` with some fragments and identical cards in them. When i dismiss card from first, it is also removing from second fragment.
"
node,How to get card config (card.getConfig)?,"In last version, we have: card.getConfig();

E.g, if I have my custon card, and I want add some custom code, I did:

```
Card c1 = new Card.Builder(getActivity())
            .setTag(""MY_CARD"")
            .withProvider(SimplePhotoCard.class)
            .hideActionBar(true)
            .endConfig()
            .build();

    mListView.add(c1);

    SimplePhotoCard sp1 = (SimplePhotoCard) c1.getConfig();

    sp1.setOnTouchPhotoListener(new SimplePhotoCard.OnTouchPhotoListener() {
        @Override
        public void onTouch(View v) {
        }
    });
```

In the new version, how can I get it?

Thanks for help.
"
node,BasicListCard,"Very good work on the library. I just have some issues using the BasicListCard.
I have added the dependencies and the code for the layout. In the activity itself I have created a BasicListCard, but it seems that methods addItem and addAllItems does not exist.
"
node,spam ticket: meizhumeizhu58,Not to get code and password
node,MoPub Native Ads recyclerview implementation mixed with this lib.....,Has anyone played with or fully implemented MoPub's native ads recyclerview implementation with this library?

node,MateriaList with Picasso,"Hi! I am using this awesome library and I am trying to mix with picasso, but I need a ImageView to do this, and I do not know how do it, I tried to inflate the layout but it does not work. So I wonder if could you tell me how can I mix them, maybe if there was a ""getImageView()"" or something could it be more easy.

Thanks you, so much!
"
node,Update Truth to 0.45.,null
node,All accounts lost after installation on new device,My mobile phone died yesterday (android 5.1.1 Nexus 5).

Today I set up the replacement (android 5.1.1. Nexus 6). But after installing google-authentticator only the google account appears. None of the others do. I am pretty messed up trying to access my diverse accounts now. Not to mention that the account list was very long and I can't even find a way to list up for which services google authenticator was set up.

Has something gone wrong? Or is this expected behaviour?

node,Push to MavenCentral,""
node,Excluding Files,I tried to copy a Java project repository (GitHub) from one to another and I want to exclude some files in the original repository when moving it as well. I tried to add those files to `exclude` array but I still see the files are being copied to the new repository. Can you add a good example on how to do this? 
