entity,title,body,class,full_body
node,fixed typo in README.md,"I changed the line ""to create a executable uberjar."" to ""to create an executable uberjar."" 
The ""a"" should be ""an"" because the word that follows it starts with a vowel.",1,line create executable create executable word vowel fixed typo
node,** does not include files in the current directory,"It would be great if its behavior matched that of Bazel build files, or if not, it was prominently documented as such.",1,would great behavior build prominently include current directory
node,fixed typos and spacings,fixed typos and spacings in `README.md`,1,fixed fixed
node,Docker: ERROR: Copybara config file filename should be 'copy.bara.sky' but it is 'something.else.sky',"In README.md
> A few environment variables exist to allow you to change how you run copybara:
> * COPYBARA_CONFIG=copy.bara.sky
> allows you to specify a path to a config file, defaults to root copy.bara.sky

I tried running it:

```bash
docker run \
       -e COPYBARA_CONFIG='something.else.sky' \
       -e COPYBARA_WORKFLOW='master' \
       -v ""$(pwd)"":/usr/src/app \
       -it copybara copybara
```

However, when I specific a config other than `copy.bara.sky` the error; **""Copybara config file filename should be 'copy.bara.sky' but it is 'something.else.sky'""** will be raised.

",1,environment exist allow change run copy bara sky specify path file root copy bara sky tried running bash docker run something else sky master however specific copy bara sky error file copy bara sky something else sky raised docker error file copy bara sky something else sky
node,Issue VACCUM SQL directive to prevent the DB from keeping old Seeds,"This is a re-patch of 69a69977470dc0b6c0cbccd165ef6d8baa5b451e, which was added in pull request #89.",1,patch baa added pull request issue directive prevent keeping old
node,Fix Issue 100: first card in list can never be dismissed.,Thanks.,1,thanks fix issue first card list never
node,Changes are package protected and can't easily be used programmatically,#5 helped with exposing Info programatically but as I found out when I tried to use it `Info#migrationReferences()` is package protected and `MigrationReference#getAvailableToMigrate` is also package protected.,1,found tried use package also package package easily used programmatically
node,Exception on rotation,"When I rotate my device I received the following Exception:

``` java
Process: de.fh.budgetkeeper.debug, PID: 1353
    java.lang.RuntimeException: Unable to start activity ComponentInfo{de.fh.budgetkeeper.debug/de.fh.budgetkeeper.ui.MainActivity}: java.lang.ClassCastException: android.widget.AbsListView$SavedState cannot be cast to com.etsy.android.grid.StaggeredGridView$GridListSavedState
            at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2195)
            at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2245)
            at android.app.ActivityThread.handleRelaunchActivity(ActivityThread.java:3738)
            at android.app.ActivityThread.access$900(ActivityThread.java:135)
            at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1202)
            at android.os.Handler.dispatchMessage(Handler.java:102)
            at android.os.Looper.loop(Looper.java:136)
            at android.app.ActivityThread.main(ActivityThread.java:5017)
            at java.lang.reflect.Method.invokeNative(Native Method)
            at java.lang.reflect.Method.invoke(Method.java:515)
            at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
            at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
            at dalvik.system.NativeStart.main(Native Method)
     Caused by: java.lang.ClassCastException: android.widget.AbsListView$SavedState cannot be cast to com.etsy.android.grid.StaggeredGridView$GridListSavedState
            at com.etsy.android.grid.StaggeredGridView.onRestoreInstanceState(StaggeredGridView.java:1292)
            at android.view.View.dispatchRestoreInstanceState(View.java:12799)
            at android.view.ViewGroup.dispatchThawSelfOnly(ViewGroup.java:2657)
            at android.widget.AdapterView.dispatchRestoreInstanceState(AdapterView.java:791)
            at android.view.ViewGroup.dispatchRestoreInstanceState(ViewGroup.java:2643)
            at android.view.View.restoreHierarchyState(View.java:12777)
            at android.support.v4.app.Fragment.restoreViewState(Fragment.java:465)
            at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:969)
            at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1126)
            at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1108)
            at android.support.v4.app.FragmentManagerImpl.dispatchActivityCreated(FragmentManager.java:1917)
            at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:544)
            at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1171)
            at android.app.Activity.performStart(Activity.java:5241)
            at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2168)
            at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2245)
            at android.app.ActivityThread.handleRelaunchActivity(ActivityThread.java:3738)
            at android.app.ActivityThread.access$900(ActivityThread.java:135)
            at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1202)
            at android.os.Handler.dispatchMessage(Handler.java:102)
            at android.os.Looper.loop(Looper.java:136)
            at android.app.ActivityThread.main(ActivityThread.java:5017)
            at java.lang.reflect.Method.invokeNative(Native Method)
            at java.lang.reflect.Method.invoke(Method.java:515)
            at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
            at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
            at dalvik.system.NativeStart.main(Native Method)
```

It seems to come from the saving of the list (MaterialListView) SavedState which will be given to the grid (MaterialStaggeredGridView) and can not be converted to GridListSavedState....?
",1,rotate device received following exception process de unable start activity de de android cast android grid android android android android access android android os handler handler android os looper loop looper android main reflect method native method reflect method invoke method android internal os run android internal os main system main native method android cast android grid android grid android view view view android view android android view android view view view android support fragment fragment android support android support android support android support android support android instrumentation instrumentation android activity activity android android android android access android android os handler handler android os looper loop looper android main reflect method native method reflect method invoke method android internal os run android internal os main system main native method come saving list given grid converted exception rotation
node,"BugFix, Resource-ID, ListCard, Abstraction","- I maybe fixed the Bug (#22). This should be tested, but I was not able to reproduce this exception.
- I've added for every Card the possibility to add the Attributes via Resource-ID.
- I updated the new BasicListCard and removed all the hard coded methods to add values to the list. Now an Adapter can be set for more flexibility on the data and the layout of the items which will be shown.
- Updated the Readme
",1,maybe fixed bug tested able reproduce exception added every card possibility add via resource id new removed hard add list adapter set flexibility data layout shown resource id abstraction
node,Unable to run coursier on Windows,"After installing JDK8 and running the first bazel build command I get this:

```
INFO: Call stack for the definition of repository 'maven' which is a coursier_fetch (rule definition at C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/rules_jvm_external/coursier.bzl:712:18):
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/rules_jvm_external/defs.bzl:89:5
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/rules_jvm_external/defs.bzl:89:5
 - C:/dev/celtoys/temp/copybara/WORKSPACE:33:1
INFO: Repository 'maven' used the following cache hits instead of downloading the corresponding file.
 * Hash '8f35f92fb8e021f96b3aa8145c66c3b2e29295baabb28ff50569e613438afcbd' for https://github.com/coursier/coursier/releases/download/v2.0.0-RC3-4/coursier.jar
If the definition of 'maven' was updated, verify that the hashes were also updated.
ERROR: An error occurred during the fetch of repository 'maven':
   Unable to run coursier: java.io.IOException: ERROR: src/main/native/windows/process.cc(199): CreateProcessW(""C:\dev\celtoys\starnew\build\bazel\oqlwc3bo\external\maven\coursier""): %1 is not a valid Win32 application.
 (error: 193)
INFO: Call stack for the definition of repository 'remotejdk11_win' which is a http_archive (rule definition at C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/utils.bzl:205:9
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/utils.bzl:205:9
 - /DEFAULT.WORKSPACE.SUFFIX:249:1
INFO: Call stack for the definition of repository 'remote_java_tools_windows' which is a http_archive (rule definition at C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/utils.bzl:205:9
 - C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/utils.bzl:205:9
 - /DEFAULT.WORKSPACE.SUFFIX:270:1
INFO: Call stack for the definition of repository 'io_bazel' which is a http_archive (rule definition at C:/dev/celtoys/starnew/build/bazel/oqlwc3bo/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - C:/dev/celtoys/temp/copybara/WORKSPACE:67:1
 - C:/dev/celtoys/temp/copybara/WORKSPACE:67:1
ERROR: C:/dev/celtoys/temp/copybara/third_party/BUILD:149:1: //third_party:flogger depends on @maven//:com_google_flogger_flogger_system_backend in repository @maven which failed to fetch. no such package '@maven//': Unable to run coursier: java.io.IOException: ERROR: src/main/native/windows/process.cc(199): CreateProcessW(""C:\dev\celtoys\starnew\build\bazel\oqlwc3bo\external\maven\coursier""): %1 is not a valid Win32 application.
 (error: 193)
ERROR: C:/dev/celtoys/temp/copybara/third_party/BUILD:149:1: //third_party:flogger depends on @maven//:com_google_flogger_flogger in repository @maven which failed to fetch. no such package '@maven//': Unable to run coursier: java.io.IOException: ERROR: src/main/native/windows/process.cc(199): CreateProcessW(""C:\dev\celtoys\starnew\build\bazel\oqlwc3bo\external\maven\coursier""): %1 is not a valid Win32 application.
 (error: 193)
ERROR: Analysis of target '//java/com/google/copybara:copybara' failed; build aborted: no such package '@maven//': Unable to run coursier: java.io.IOException: ERROR: src/main/native/windows/process.cc(199): CreateProcessW(""C:\dev\celtoys\starnew\build\bazel\oqlwc3bo\external\maven\coursier""): %1 is not a valid Win32 application.
 (error: 193)
INFO: Elapsed time: 1.211s
INFO: 0 processes.
FAILED: Build did NOT complete successfully (0 packages loaded, 0 targets configured)
```

The `coursier` file exists but it's clearly not a Win32 PE, with some bash code prefixed at the beginning.

Thanks for any help!",1,running first build command get call stack definition repository fetch rule definition dev build bo external external dev build bo external external dev build bo external external dev temp repository used following cache instead corresponding file hash aa jar definition verify also error error fetch repository unable run io error main native process dev build bo external valid win application error call stack definition repository win archive rule definition dev build bo external build dev build bo external build dev build bo external build default suffix call stack definition repository remote archive rule definition dev build bo external build dev build bo external build dev build bo external build default suffix call stack definition repository io archive rule definition dev build bo external build dev temp dev temp error dev temp third party build third party flogger flogger flogger system repository fetch package unable run io error main native process dev build bo external valid win application error error dev temp third party build third party flogger flogger flogger repository fetch package unable run io error main native process dev build bo external valid win application error error analysis target build aborted package unable run io error main native process dev build bo external valid win application error time build complete successfully loaded file clearly win bash code prefixed beginning thanks help unable run
